scheme,scheme_role,stage,train_schools,test_schools,train_n,test_n,train_response_rate,test_response_rate,abs_response_rate_gap,train_intensity_count,test_intensity_count,experiment,model_label,validation_scheme,mean_auc,mean_train_auc,mean_gap
A_5train_2test_balanced_rate,sensitivity,outphase,中关村、冷泉、唐家岭校区、本部、百旺,六里屯、华清校区,195,86,0.5743589743589743,0.5930232558139535,0.018664281454979226,3,2,clinical_slim_logistic,clinical_baseline_main,outphase_fixed_school_combo_holdout,0.4543417366946778,0.6291953528399311,0.1748536161452532
A_5train_2test_balanced_rate,sensitivity,outphase,中关村、冷泉、唐家岭校区、本部、百旺,六里屯、华清校区,195,86,0.5743589743589743,0.5930232558139535,0.018664281454979226,3,2,fusion_elastic_net,compact_fusion,outphase_fixed_school_combo_holdout,0.4593837535014006,0.8269148020654046,0.367531048564004
A_5train_2test_balanced_rate,sensitivity,outphase,中关村、冷泉、唐家岭校区、本部、百旺,六里屯、华清校区,195,86,0.5743589743589743,0.5930232558139535,0.018664281454979226,3,2,lipid_elastic_net,ultra_sparse_lipid,outphase_fixed_school_combo_holdout,0.384313725490196,0.7473106712564545,0.3629969457662584
A_5train_2test_balanced_rate,sensitivity,self_validation,中关村、冷泉、唐家岭校区、本部、百旺,六里屯、华清校区,195,86,0.5743589743589743,0.5930232558139535,0.018664281454979226,3,2,clinical_slim_logistic,clinical_baseline_main,fixed_school_combo_holdout,0.5787114845938375,0.6291953528399311,0.0504838682460936
A_5train_2test_balanced_rate,sensitivity,self_validation,中关村、冷泉、唐家岭校区、本部、百旺,六里屯、华清校区,195,86,0.5743589743589743,0.5930232558139535,0.018664281454979226,3,2,fusion_elastic_net,compact_fusion,fixed_school_combo_holdout,0.5501400560224089,0.8269148020654046,0.2767747460429957
A_5train_2test_balanced_rate,sensitivity,self_validation,中关村、冷泉、唐家岭校区、本部、百旺,六里屯、华清校区,195,86,0.5743589743589743,0.5930232558139535,0.018664281454979226,3,2,lipid_elastic_net,ultra_sparse_lipid,fixed_school_combo_holdout,0.4857142857142857,0.7473106712564545,0.2615963855421687
B_4train_3test_all_intensity,selected,outphase,六里屯、冷泉、本部、百旺,中关村、华清校区、唐家岭校区,161,120,0.5590062111801242,0.6083333333333333,0.04932712215320911,3,3,clinical_slim_logistic,clinical_baseline_main,outphase_fixed_school_combo_holdout,0.5324978140483825,0.5687010954616588,0.0362032814132763
B_4train_3test_all_intensity,selected,outphase,六里屯、冷泉、本部、百旺,中关村、华清校区、唐家岭校区,161,120,0.5590062111801242,0.6083333333333333,0.04932712215320911,3,3,fusion_elastic_net,compact_fusion,outphase_fixed_school_combo_holdout,0.3191489361702128,0.8179968701095461,0.4988479339393333
B_4train_3test_all_intensity,selected,outphase,六里屯、冷泉、本部、百旺,中关村、华清校区、唐家岭校区,161,120,0.5590062111801242,0.6083333333333333,0.04932712215320911,3,3,lipid_elastic_net,ultra_sparse_lipid,outphase_fixed_school_combo_holdout,0.3133197318566016,0.7064162754303599,0.3930965435737583
B_4train_3test_all_intensity,selected,self_validation,六里屯、冷泉、本部、百旺,中关村、华清校区、唐家岭校区,161,120,0.5590062111801242,0.6083333333333333,0.04932712215320911,3,3,clinical_slim_logistic,clinical_baseline_main,fixed_school_combo_holdout,0.5939959195569805,0.5687010954616588,-0.0252948240953216
B_4train_3test_all_intensity,selected,self_validation,六里屯、冷泉、本部、百旺,中关村、华清校区、唐家岭校区,161,120,0.5590062111801242,0.6083333333333333,0.04932712215320911,3,3,fusion_elastic_net,compact_fusion,fixed_school_combo_holdout,0.5170504226173127,0.8178403755868544,0.3007899529695417
B_4train_3test_all_intensity,selected,self_validation,六里屯、冷泉、本部、百旺,中关村、华清校区、唐家岭校区,161,120,0.5590062111801242,0.6083333333333333,0.04932712215320911,3,3,lipid_elastic_net,ultra_sparse_lipid,fixed_school_combo_holdout,0.5333721946954241,0.7064162754303599,0.1730440807349358
