indicator,gender,n,mean,std,median
BMI,Male,97,24.1544,2.8355,23.63
BMI,Female,184,25.3967,3.2112,24.96
BMI,All,281,24.9679,3.1379,24.47
weight,Male,97,56.5577,10.5595,55.0
weight,Female,184,59.5652,11.8139,58.1
weight,All,281,58.527,11.4673,57.5
bmi_z,Male,97,2.1346,0.5084,2.1646
bmi_z,Female,184,2.6301,0.5392,2.6276
bmi_z,All,281,2.4591,0.5782,2.4797
waistline,Male,97,81.5649,8.3721,80.2
waistline,Female,184,86.7891,8.7934,86.0
waistline,All,281,84.9858,8.9866,84.0
hipline,Male,97,94.1412,7.5045,93.4
hipline,Female,184,94.4614,7.2878,93.55
hipline,All,281,94.3509,7.3515,93.5
WHR,Male,97,0.8664,0.0539,0.8675
WHR,Female,184,0.918,0.0459,0.9171
WHR,All,281,0.9002,0.0545,0.9016
PBF,Male,97,35.4186,5.4092,35.0
PBF,Female,184,36.9734,5.7962,36.8
PBF,All,281,36.4367,5.7042,36.4
PSM,Male,97,34.2098,3.0013,34.3949
PSM,Female,184,33.6801,3.233,33.7051
PSM,All,281,33.863,3.1597,34.0171
