indicator,group,best_model,full_auc,m2f_auc,f2m_auc,sens,spec,n_feat,top_features
BMI,q4,RF,0.8215,0.7424,0.7536,0.746,0.803,11,SM(d20:0_24:3); SM(d39:1); PE(14:0e); DG(10:0_11:1); SM(d18:1_20:1) ...
PBF,q4,LR,0.8226,0.8528,0.8029,0.775,0.833,3,TG(17:0_18:1_20:5); Hex1Cer(d18:0_20:4); PC(15:0_18:2)
PSM,q4,RF,0.8919,0.8414,0.8481,0.845,0.803,5,PC(15:0_18:2); Cer(d16:1_18:0); TG(6:0_10:3_10:4); Hex1Cer(d18:0_20:4); Cer(d38:0)
WHR,q4,SVM,0.7594,0.7624,0.8234,0.451,0.944,5,Hex2Cer(d34:2); Cer(d18:2_20:1); SM(d20:0_18:4); PE(16:0p_22:6); PI(16:0_20:4)
hipline,q4,RF,0.8413,0.8393,0.819,0.789,0.824,10,LPC(18:2e); PC(18:2e_20:4); TG(19:1_16:0_18:3); SM(d18:1_20:1); TG(17:0_18:1_18:3) ...
waistline,q4,KNN,0.7528,0.7558,0.7395,0.726,0.681,4,SM(d36:3); PI(16:0_16:1); SM(d42:6); CL(86:14)
weight,q4,LR,0.7339,0.7151,0.7049,0.764,0.587,8,SM(d16:3_24:); PI(18:0_22:5); PE(14:0e); DG(38:5e); SM(d40:0) ...
BMI,q3,LR,0.7018,0.7013,0.7402,0.798,0.537,4,Cer(d19:1_24:1); SM(d42:6); Hex1Cer(d18:0_20:4); Cer(d19:1_23:4)
PBF,q3,RF,0.8086,0.8068,0.8044,0.894,0.649,3,PS(36:3e); Hex1Cer(d18:0_20:4); Cer(t18:1_21:2)
WHR,q3,RF,0.7575,0.7283,0.7973,0.787,0.617,6,SM(d18:1_18:0); TG(19:0_18:1_18:2); CL(79:4); PE(16:0p_22:6); PI(16:0_20:3) ...
bmi_z,q3,RF,0.7777,0.6991,0.7602,0.713,0.734,14,SM(d20:0_24:2); Cer(t16:0_19:1); SM(d40:0); DG(10:0_11:1); PE(18:2e_16:1) ...
hipline,q3,RF,0.7196,0.7455,0.705,0.84,0.574,10,LPC(18:2e); PA(45:7); LPC(19:0); SM(d16:3_24:2); TG(19:1_16:0_18:3) ...
waistline,q3,RF,0.6832,0.6011,0.6387,0.8,0.474,3,SM(d36:3); PI(16:0_18:1); CL(86:14)
weight,q3,KNN,0.6508,0.5789,0.6055,0.553,0.734,7,Cer(t18:1_24:0); Hex2Cer(d34:2); TG(16:0_20:4_22:6); SM(d18:1_20:1); SM(d18:3_24:3) ...
